;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;
NI;047;Goslar;20;1 060,7;184,3;187,6 ;90,2;175,9;177;13,7  ;2,8  ;7,1  ;16,1  ;33,1  ;27,2  ;8,9  ;14,4  ;34,9  ;37,4  ;-   8,0;3,2  ;20,7 ;13,6 ;23,8 ;41,9;0,7;73,2;586,9 ;87,2  ;3,8  ;498,0;300,6 ;1,3    ;39,5    ;16,5    ;42,8    ;14,1  ;15,6;
NI;048;Northeim – Osterode;23;1 807,2;208,2;214,5 ;104,0;198,3;119;15,3  ;3,2  ;7,3  ;14,7  ;33,6  ;25,9  ;9,3  ;13,3  ;31,7  ;32,9  ;-   5,1;10,3  ;32,2 ;26,1 ;20,5 ;21,2;0,8;103,7;641,3 ;83,9  ;5,3  ;431,2;286,3 ;2,4    ;49,6    ;14,4    ;33,6    ;13,8  ;14,3;
NI;049;Göttingen;29;1 117,1;245,0;267,2 ;130,4;244,6;239;15,3  ;2,9  ;9,3  ;19,9  ;32,7  ;19,9  ;10,6  ;10,2  ;194,3  ;190,6  ;+   4,1;6,8  ;35,0 ;27,0 ;18,3 ;19,7;0,6;70,2;554,6 ;85,4  ;4,8  ;434,0;325,3 ;0,8    ;32,2    ;17,0    ;50,0    ;14,5  ;15,3;
NI;903;Land insgesamt;1 032;47 612,2;7 162,1;7 815,1 ;3 815,6;7 259,9;164;16,5  ;3,2  ;7,8  ;16,7  ;34,0  ;21,8  ;10,7  ;10,9  ;53,9  ;49,2  ;+   4,4;10,7  ;27,7 ;22,5 ;26,6 ;23,2;0,5;74,8;608,8 ;84,6  ;8,6  ;426,4;296,7 ;1,4    ;39,4    ;19,3    ;39,9    ;12,5  ;13,2;
HB;050;Bremen-Ost;2;122,2;243,0;251,6 ;119,4;217,0;2 058;13,6  ;2,7  ;7,6  ;17,3  ;35,2  ;23,5  ;9,6  ;11,9  ;42,2  ;41,0  ;-   1,0;0,6  ;36,0 ;18,9 ;19,9 ;25,2;0,5;112,1;497,2 ;88,1  ;3,5  ;496,0;416,9 ;0,3    ;32,3    ;26,7    ;40,8    ;16,3  ;17,0;
HB;051;Bremen-West;siehe Wkr 050;135,0;190,6;192,8 ;94,0;163,3;1 428;siehe Wkr 050;siehe Wkr 050;siehe Wkr 050;siehe Wkr 050;siehe Wkr 050;siehe Wkr 050;siehe Wkr 050;siehe Wkr 050;siehe Wkr 050;siehe Wkr 050;siehe Wkr 050;siehe Wkr 050;siehe Wkr 050;siehe Wkr 050;siehe Wkr 050;siehe Wkr 050;siehe Wkr 050;siehe Wkr 050;siehe Wkr 050;siehe Wkr 050;siehe Wkr 050;siehe Wkr 050;siehe Wkr 050;siehe Wkr 050;siehe Wkr 050;siehe Wkr 050;siehe Wkr 050;siehe Wkr 050;siehe Wkr 050;
HB;052;Bremerhaven – Bremen-Nord;siehe Wkr 050;147,0;226,5;233,4 ;113,3;200,3;1 588;15,4  ;3,2  ;8,2  ;16,0  ;33,8  ;23,5  ;10,3  ;12,0  ;41,2  ;50,8  ;-  11,3;0,3  ;82,9 ;5,7 ;2,9 ;8,6;0,7;70,6;448,8 ;88,4  ;2,8  ;490,5;siehe Wkr 050;siehe Wkr 050;siehe Wkr 050;siehe Wkr 050;siehe Wkr 050;siehe Wkr 050;siehe Wkr 050;
HB;904;Land insgesamt;2;404,2;660,1;677,8 ;326,6;580,6;1 677;13,9  ;2,8  ;7,7  ;17,1  ;34,9  ;23,5  ;9,8  ;11,9  ;42,0  ;42,8  ;-   2,9;0,5  ;40,6 ;17,6 ;18,2 ;23,6;0,5;104,1;488,0 ;88,2  ;3,4  ;494,9;416,9 ;0,3    ;32,3    ;26,7    ;40,8    ;16,3  ;17,0;
NW;053;Aachen;1;160,8;229,7;247,8 ;123,5;206,6;1 541;13,9  ;2,5  ;7,8  ;21,8  ;33,4  ;20,5  ;10,5  ;10,3  ;51,8  ;52,5  ;-   0,5;1,0  ;28,0 ;21,6 ;34,3 ;16,1;0,5;88,0;499,9 ;87,1  ;4,1  ;487,9;419,9 ;0,3    ;29,4    ;16,9    ;53,4    ;15,2  ;15,2;
NW;054;Kreis Aachen;9;546,6;286,0;303,1 ;148,2;270,3;555;16,9  ;3,2  ;7,3  ;16,1  ;34,5  ;22,1  ;10,9  ;10,6  ;34,2  ;32,3  ;+   2,3;2,5  ;30,6 ;24,0 ;31,5 ;13,9;0,4;79,2;561,4 ;87,0  ;6,2  ;415,1;228,2 ;0,7    ;45,8    ;22,8    ;30,7    ;13,1  ;13,3;
NW;055;Heinsberg;10;627,9;212,7;241,4 ;119,1;218,5;385;18,4  ;3,5  ;7,5  ;16,0  ;34,2  ;20,4  ;10,8  ;9,8  ;36,2  ;25,6  ;+  11,6;5,6  ;16,7 ;23,6 ;44,5 ;15,2;0,5;61,4;587,7 ;85,8  ;7,3  ;383,2;202,6 ;1,3    ;46,7    ;17,4    ;34,6    ;13,2  ;13,3;
NW;056;Düren;15;941,2;233,8;260,1 ;128,7;236,1;276;17,3  ;3,2  ;7,5  ;16,6  ;34,4  ;20,8  ;10,7  ;10,1  ;45,3  ;40,1  ;+   5,8;5,0  ;13,5 ;17,8 ;39,3 ;29,4;0,5;79,5;595,6 ;85,8  ;6,7  ;395,4;269,3 ;1,1    ;44,1    ;15,3    ;39,5    ;10,8  ;10,7;
NW;057;Erftkreis I;7;525,3;286,0;318,6 ;157,3;282,8;606;15,9  ;3,2  ;7,6  ;16,7  ;36,6  ;20,0  ;10,2  ;9,7  ;42,0  ;36,8  ;+   5,7;1,8  ;16,3 ;19,7 ;30,9 ;33,0;0,3;69,6;594,7 ;87,5  ;6,7  ;401,1;246,1 ;1,2    ;42,0    ;26,1    ;30,7    ;8,6  ;9,3;
NW;058;Euskirchen – Erftkreis II;14;1 428,6;276,6;309,9 ;152,1;284,4;217;17,4  ;3,3  ;7,5  ;16,1  ;34,5  ;21,3  ;10,3  ;11,0  ;37,8  ;29,6  ;+   7,6;10,7  ;29,7 ;30,9 ;21,1 ;18,2;0,5;57,2;647,7 ;83,0  ;5,2  ;379,7;243,8 ;1,1    ;45,0    ;19,9    ;34,0    ;8,5  ;8,8;
NW;059;Köln I;1;95,4;217,5;229,6 ;113,1;181,0;2 407;14,2  ;2,6  ;7,5  ;19,3  ;35,3  ;21,0  ;10,8  ;10,5  ;41,8  ;43,5  ;-   1,4;0,2  ;33,9 ;14,9 ;16,1 ;35,1;0,3;75,7;525,8 ;88,3  ;5,0  ;496,2;447,2 ;0,3    ;26,5    ;23,5    ;49,7    ;13,7  ;14,7;
NW;060;Köln II;siehe Wkr 059;96,2;207,3;215,3 ;100,8;185,2;2 237;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;
NW;061;Köln III;siehe Wkr 059;123,0;265,9;276,2 ;134,2;217,4;2 246;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;
NW;062;Köln IV;siehe Wkr 059;90,6;237,6;243,3 ;118,6;191,3;2 687;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;siehe Wkr 059;
NW;063;Bonn;1;141,2;276,7;302,9 ;143,8;252,3;2 145;14,5  ;2,6  ;7,3  ;19,3  ;34,7  ;21,5  ;10,5  ;9,6  ;109,5  ;72,6  ;+  37,8;0,3  ;54,3 ;26,1 ;10,9 ;8,7;0,3;41,8;544,1 ;89,6  ;7,6  ;501,2;470,7 ;0,3    ;15,2    ;15,1    ;69,5    ;8,1  ;8,5;
NW;064;Rhein-Sieg-Kreis I;10;660,7;245,1;288,6 ;141,6;261,2;437;17,4  ;3,3  ;7,5  ;16,0  ;36,1  ;19,7  ;10,5  ;9,7  ;50,5  ;41,3  ;+  10,0;3,8  ;36,8 ;28,0 ;22,6 ;12,7;0,4;53,9;597,4 ;87,0  ;11,2  ;400,4;242,9 ;1,4    ;43,6    ;19,4    ;35,6    ;9,5  ;9,5;
NW;065;Rhein-Sieg-Kreis II;9;492,7;231,4;263,7 ;128,9;242,7;535;siehe Wkr 064;siehe Wkr 064;siehe Wkr 064;siehe Wkr 064;siehe Wkr 064;siehe Wkr 064;siehe Wkr 064;siehe Wkr 064;siehe Wkr 064;siehe Wkr 064;siehe Wkr 064;siehe Wkr 064;siehe Wkr 064;siehe Wkr 064;siehe Wkr 064;siehe Wkr 064;siehe Wkr 064;siehe Wkr 064;siehe Wkr 064;siehe Wkr 064;siehe Wkr 064;siehe Wkr 064;184,8 ;2,0    ;34,1    ;19,4    ;44,5    ;7,1  ;7,2;
NW;066;Oberbergischer Kreis;13;918,1;245,4;282,1 ;136,9;257,9;307;18,6  ;3,6  ;7,7  ;15,8  ;33,0  ;21,4  ;11,1  ;11,4  ;33,0  ;28,5  ;+   4,1;6,3  ;41,8 ;27,4 ;19,8 ;11,0;0,9;124,4;623,2 ;85,1  ;5,7  ;384,5;291,5 ;0,5    ;55,1    ;14,2    ;30,1    ;11,0  ;10,6;
NW;067;Rheinisch-Bergischer Kreis I;6;373,0;208,7;226,2 ;109,7;207,2;606;16,3  ;3,1  ;6,9  ;15,7  ;36,1  ;22,0  ;10,3  ;10,1  ;44,8  ;39,7  ;+   5,3;2,8  ;42,5 ;28,6 ;19,6 ;9,3;0,5;60,9;645,2 ;87,5  ;8,4  ;424,9;237,5 ;0,9    ;38,5    ;20,0    ;40,6    ;9,3  ;9,4;
NW;068;Leverkusen – Rheinisch-Bergischer Kreis II;3;143,6;195,7;207,7 ;100,9;183,3;1 447;15,1  ;3,0  ;7,3  ;16,6  ;34,8  ;23,2  ;9,4  ;10,6  ;42,5  ;36,9  ;+   4,4;0,5  ;32,9 ;36,7 ;20,3 ;10,1;0,3;255,6;559,4 ;89,3  ;5,6  ;450,9;368,2 ;0,4    ;59,0    ;15,6    ;25,0    ;12,2  ;11,9;
NW;069;Wuppertal I;1;89,3;189,9;198,0 ;95,1;165,1;2 219;15,1  ;2,9  ;7,3  ;16,9  ;34,4  ;23,3  ;9,3  ;12,4  ;32,7  ;35,1  ;-   5,4;0,5  ;44,3 ;30,7 ;17,7 ;7,3;0,8;116,7;521,8 ;87,5  ;4,1  ;478,5;340,0 ;0,4    ;43,9    ;18,6    ;37,1    ;12,3  ;12,4;
NW;070;Wuppertal II;siehe Wkr 069;79,1;175,8;181,8 ;86,6;152,9;2 298;siehe Wkr 069;siehe Wkr 069;siehe Wkr 069;siehe Wkr 069;siehe Wkr 069;siehe Wkr 069;siehe Wkr 069;siehe Wkr 069;siehe Wkr 069;siehe Wkr 069;siehe Wkr 069;siehe Wkr 069;siehe Wkr 069;siehe Wkr 069;siehe Wkr 069;siehe Wkr 069;siehe Wkr 069;siehe Wkr 069;siehe Wkr 069;siehe Wkr 069;siehe Wkr 069;siehe Wkr 069;siehe Wkr 069;siehe Wkr 069;siehe Wkr 069;siehe Wkr 069;siehe Wkr 069;siehe Wkr 069;siehe Wkr 069;
NW;071;Solingen – Remscheid;2;164,1;279,2;286,7 ;137,4;242,2;1 748;16,1  ;3,0  ;7,1  ;16,1  ;34,2  ;23,6  ;10,0  ;12,2  ;29,6  ;32,0  ;-   4,6;0,7  ;44,5 ;31,5 ;15,5 ;8,5;1,2;144,3;562,0 ;87,6  ;3,2  ;458,4;344,2 ;0,4    ;53,5    ;17,1    ;28,9    ;10,4  ;10,3;
NW;072;Mettmann I;6;183,8;254,2;273,5 ;132,8;242,2;1 489;15,6  ;3,0  ;7,0  ;15,6  ;37,1  ;21,7  ;9,8  ;10,4  ;36,4  ;36,1  ;-   0,3;1,2  ;39,2 ;19,8 ;24,1 ;17,0;0,9;114,7;595,6 ;88,1  ;4,4  ;441,4;294,8 ;0,7    ;36,2    ;32,8    ;30,3    ;9,4  ;9,0;
NW;073;Mettmann II;4;223,3;225,5;231,0 ;111,6;202,3;1 034;siehe Wkr 072;siehe Wkr 072;siehe Wkr 072;siehe Wkr 072;siehe Wkr 072;siehe Wkr 072;siehe Wkr 072;siehe Wkr 072;siehe Wkr 072;siehe Wkr 072;siehe Wkr 072;siehe Wkr 072;siehe Wkr 072;siehe Wkr 072;siehe Wkr 072;siehe Wkr 072;siehe Wkr 072;siehe Wkr 072;siehe Wkr 072;siehe Wkr 072;siehe Wkr 072;siehe Wkr 072;364,4 ;0,6    ;54,3    ;20,4    ;24,8    ;9,2  ;9,1;
NW;074;Düsseldorf I;1;129,6;294,5;295,0 ;137,4;245,9;2 276;13,0  ;2,4  ;6,7  ;18,3  ;36,0  ;23,6  ;9,7  ;12,4  ;52,2  ;48,7  ;+   0,8;0,4  ;64,1 ;12,6 ;12,6 ;10,7;0,4;89,3;560,8 ;89,0  ;4,3  ;535,8;585,0 ;0,2    ;22,9    ;27,0    ;50,0    ;13,6  ;13,5;
NW;075;Düsseldorf II;siehe Wkr 074;87,4;269,1;276,5 ;130,9;229,5;3 164;siehe Wkr 074;siehe Wkr 074;siehe Wkr 074;siehe Wkr 074;siehe Wkr 074;siehe Wkr 074;siehe Wkr 074;siehe Wkr 074;siehe Wkr 074;siehe Wkr 074;siehe Wkr 074;siehe Wkr 074;siehe Wkr 074;siehe Wkr 074;siehe Wkr 074;siehe Wkr 074;siehe Wkr 074;siehe Wkr 074;siehe Wkr 074;siehe Wkr 074;siehe Wkr 074;siehe Wkr 074;siehe Wkr 074;siehe Wkr 074;siehe Wkr 074;siehe Wkr 074;siehe Wkr 074;siehe Wkr 074;siehe Wkr 074;
NW;076;Neuss I;2;184,9;197,0;211,0 ;103,2;183,0;1 141;16,3  ;3,1  ;7,2  ;16,4  ;36,7  ;20,4  ;10,5  ;9,2  ;42,0  ;34,9  ;+   8,4;2,1  ;21,0 ;20,0 ;37,1 ;21,9;0,5;87,9;606,5 ;88,5  ;7,1  ;420,7;376,8 ;0,6    ;42,0    ;27,3    ;30,0    ;10,3  ;10,7;
NW;077;Neuss II;6;391,3;206,8;228,4 ;112,0;205,6;584;siehe Wkr 076;siehe Wkr 076;siehe Wkr 076;siehe Wkr 076;siehe Wkr 076;siehe Wkr 076;siehe Wkr 076;siehe Wkr 076;siehe Wkr 076;siehe Wkr 076;siehe Wkr 076;siehe Wkr 076;siehe Wkr 076;siehe Wkr 076;siehe Wkr 076;siehe Wkr 076;siehe Wkr 076;siehe Wkr 076;siehe Wkr 076;siehe Wkr 076;siehe Wkr 076;siehe Wkr 076;194,2 ;1,8    ;43,8    ;23,7    ;30,8    ;8,5  ;8,5;
NW;078;Mönchengladbach;1;170,4;249,6;266,9 ;128,1;237,7;1 566;16,0  ;2,9  ;7,3  ;17,1  ;34,5  ;22,2  ;10,6  ;11,6  ;38,0  ;36,4  ;+   0,6;0,9  ;24,9 ;20,9 ;36,9 ;17,3;0,6;89,6;548,0 ;88,5  ;3,0  ;450,5;314,1 ;0,6    ;39,3    ;22,9    ;37,2    ;13,7  ;14,3;
NW;079;Krefeld;1;137,6;232,3;247,8 ;120,2;208,7;1 801;15,5  ;2,8  ;7,2  ;17,4  ;34,8  ;22,3  ;9,9  ;10,9  ;31,0  ;37,5  ;-   7,4;0,7  ;41,2 ;16,4 ;23,6 ;18,8;0,6;129,0;507,9 ;89,1  ;4,8  ;459,4;355,6 ;0,6    ;45,3    ;21,1    ;33,0    ;15,5  ;15,8;
NW;080;Viersen;9;563,3;261,7;291,1 ;142,2;266,4;517;17,3  ;3,1  ;6,8  ;16,3  ;35,3  ;21,2  ;10,7  ;10,7  ;39,5  ;30,4  ;+   9,2;4,3  ;26,7 ;23,8 ;37,9 ;11,5;0,7;83,5;606,7 ;86,2  ;8,2  ;413,7;276,0 ;1,4    ;43,7    ;23,8    ;31,1    ;10,5  ;10,5;
NW;081;Kleve;16;1 231,4;261,0;291,0 ;143,9;266,4;236;18,2  ;3,3  ;7,4  ;16,6  ;33,9  ;20,6  ;11,0  ;10,6  ;32,7  ;23,1  ;+  10,0;10,9  ;33,5 ;19,5 ;32,6 ;14,4;0,5;51,0;588,9 ;84,6  ;7,3  ;378,9;249,1 ;3,0    ;40,0    ;19,6    ;37,4    ;11,0  ;10,7;
NW;082;Wesel I;7;678,0;218,9;242,8 ;119,4;222,1;358;17,0  ;3,3  ;7,2  ;15,8  ;35,6  ;21,1  ;9,8  ;10,2  ;33,0  ;27,3  ;+   5,3;4,9  ;30,1 ;25,4 ;31,6 ;13,0;0,4;74,7;582,5 ;87,0  ;5,5  ;393,2;238,4 ;1,4    ;47,2    ;18,3    ;33,0    ;11,8  ;11,9;
NW;083;Wesel II;6;364,3;207,2;225,2 ;109,6;200,8;618;siehe Wkr 082;siehe Wkr 082;siehe Wkr 082;siehe Wkr 082;siehe Wkr 082;siehe Wkr 082;siehe Wkr 082;siehe Wkr 082;siehe Wkr 082;siehe Wkr 082;siehe Wkr 082;siehe Wkr 082;siehe Wkr 082;siehe Wkr 082;siehe Wkr 082;siehe Wkr 082;siehe Wkr 082;siehe Wkr 082;siehe Wkr 082;siehe Wkr 082;siehe Wkr 082;siehe Wkr 082;247,8 ;1,3    ;44,9    ;17,5    ;36,4    ;12,0  ;11,7;
NW;084;Duisburg I;1;123,5;271,3;271,2 ;131,2;229,0;2 196;15,4  ;3,0  ;7,5  ;16,2  ;33,8  ;24,1  ;10,4  ;12,2  ;37,2  ;40,2  ;-   4,8;0,2  ;32,4 ;17,1 ;29,7 ;20,7;0,3;93,5;496,3 ;88,7  ;4,0  ;465,1;296,7 ;0,3    ;40,2    ;22,8    ;36,6    ;17,2  ;17,4;
NW;085;Duisburg II;siehe Wkr 084;109,3;254,1;261,5 ;127,1;209,7;2 392;siehe Wkr 084;siehe Wkr 084;siehe Wkr 084;siehe Wkr 084;siehe Wkr 084;siehe Wkr 084;siehe Wkr 084;siehe Wkr 084;siehe Wkr 084;siehe Wkr 084;siehe Wkr 084;siehe Wkr 084;siehe Wkr 084;siehe Wkr 084;siehe Wkr 084;siehe Wkr 084;siehe Wkr 084;siehe Wkr 084;siehe Wkr 084;siehe Wkr 084;siehe Wkr 084;siehe Wkr 084;siehe Wkr 084;siehe Wkr 084;siehe Wkr 084;siehe Wkr 084;siehe Wkr 084;siehe Wkr 084;siehe Wkr 084;
NW;086;Oberhausen;1;77,0;220,3;223,9 ;108,2;196,0;2 906;15,4  ;3,0  ;7,1  ;15,8  ;35,2  ;23,5  ;9,7  ;12,1  ;33,8  ;33,6  ;-   2,3;0,2  ;56,0 ;24,0 ;14,0 ;6,0;0,3;54,8;519,7 ;88,9  ;2,4  ;448,3;266,3 ;0,6    ;34,2    ;20,5    ;44,7    ;15,0  ;15,4;
NW;087;Mülheim;1;91,3;176,4;176,0 ;83,5;159,6;1 928;13,9  ;2,6  ;6,2  ;15,4  ;35,8  ;26,2  ;9,2  ;13,0  ;34,5  ;33,7  ;-   3,0;0,6  ;47,1 ;24,0 ;18,3 ;10,6;0,4;81,2;569,7 ;88,8  ;4,5  ;489,7;335,9 ;0,6    ;40,6    ;25,7    ;33,0    ;10,8  ;11,2;
NW;088;Essen I;1;41,1;198,3;192,4 ;90,8;173,3;4 680;14,3  ;2,7  ;6,9  ;15,7  ;35,0  ;25,4  ;9,2  ;13,4  ;27,3  ;28,0  ;-   5,0;0,3  ;47,7 ;17,4 ;21,3 ;13,5;0,4;54,2;529,6 ;88,7  ;2,0  ;502,3;357,8 ;0,5    ;29,9    ;23,6    ;46,0    ;13,8  ;14,1;
NW;089;Essen II;siehe Wkr 088;52,1;186,8;188,8 ;91,5;162,9;3 623;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;
NW;090;Essen III;siehe Wkr 088;117,1;238,4;230,7 ;108,5;208,8;1 969;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;siehe Wkr 088;
NW;091;Recklinghausen I;3;165,1;225,2;236,1 ;114,1;212,1;1 431;16,5  ;3,2  ;7,5  ;15,6  ;34,7  ;22,4  ;10,1  ;11,3  ;28,9  ;28,0  ;-   0,3;1,9  ;29,9 ;28,7 ;32,0 ;9,5;0,4;79,3;542,8 ;88,3  ;4,8  ;422,6;244,8 ;0,8    ;34,5    ;19,7    ;45,1    ;14,1  ;14,7;
NW;092;Recklinghausen II – Borken I;8;710,1;285,8;309,5 ;152,1;283,6;436;siehe Wkr 091;siehe Wkr 091;siehe Wkr 091;siehe Wkr 091;siehe Wkr 091;siehe Wkr 091;siehe Wkr 091;siehe Wkr 091;siehe Wkr 091;siehe Wkr 091;siehe Wkr 091;siehe Wkr 091;siehe Wkr 091;siehe Wkr 091;siehe Wkr 091;siehe Wkr 091;siehe Wkr 091;siehe Wkr 091;siehe Wkr 091;siehe Wkr 091;siehe Wkr 091;siehe Wkr 091;243,9 ;1,4    ;52,7    ;15,1    ;30,8    ;12,8  ;13,4;
NW;093;Gelsenkirchen I;4;57,3;195,6;197,2 ;94,8;162,7;3 442;15,5  ;3,0  ;7,6  ;16,0  ;33,2  ;24,7  ;9,7  ;13,5  ;29,4  ;33,0  ;-   7,4;0,3  ;50,0 ;32,9 ;13,2 ;3,9;0,4;83,0;474,6 ;89,5  ;2,2  ;473,7;264,7 ;0,6    ;46,6    ;17,4    ;35,4    ;15,9  ;17,1;
NW;094;Gelsenkirchen II – Recklinghausen III;siehe Wkr 093;91,0;177,8;178,8 ;86,2;157,7;1 965;siehe Wkr 093;siehe Wkr 093;siehe Wkr 093;siehe Wkr 093;siehe Wkr 093;siehe Wkr 093;siehe Wkr 093;siehe Wkr 093;siehe Wkr 093;siehe Wkr 093;siehe Wkr 093;siehe Wkr 093;siehe Wkr 093;siehe Wkr 093;siehe Wkr 093;siehe Wkr 093;siehe Wkr 093;siehe Wkr 093;siehe Wkr 093;siehe Wkr 093;siehe Wkr 093;siehe Wkr 093;siehe Wkr 093;siehe Wkr 093;siehe Wkr 093;siehe Wkr 093;siehe Wkr 093;siehe Wkr 093;siehe Wkr 093;
NW;095;Bottrop – Recklinghausen IV;siehe Wkr 093;130,4;174,8;182,3 ;88,0;163,4;1 398;16,0  ;3,1  ;7,3  ;15,5  ;35,3  ;22,8  ;9,4  ;10,7  ;38,4  ;33,6  ;+   3,4;1,3  ;46,7 ;17,1 ;20,4 ;15,8;0,4;81,2;564,3 ;88,0  ;3,5  ;429,0;siehe Wkr 093;siehe Wkr 093;siehe Wkr 093;siehe Wkr 093;siehe Wkr 093;siehe Wkr 093;siehe Wkr 093;
NW;096;Borken II;14;1 229,7;281,7;315,8 ;156,8;293,1;257;20,6  ;3,8  ;8,5  ;17,4  ;31,5  ;18,2  ;13,1  ;8,1  ;28,4  ;21,3  ;+  12,1;14,6  ;28,1 ;33,4 ;32,6 ;5,9;0,8;105,5;578,7 ;83,4  ;8,8  ;341,3;314,8 ;1,5    ;51,5    ;19,4    ;27,7    ;9,6  ;10,0;
NW;097;Coesfeld – Steinfurt I;20;1 666,4;274,1;314,4 ;154,9;297,9;189;20,0  ;3,8  ;8,2  ;16,5  ;33,4  ;18,0  ;12,5  ;8,7  ;42,9  ;29,5  ;+  17,2;16,5  ;31,4 ;28,0 ;29,0 ;11,6;0,5;50,1;603,0 ;83,6  ;9,6  ;347,7;235,4 ;2,2    ;42,8    ;17,4    ;37,6    ;8,3  ;8,4;
NW;098;Steinfurt II;15;1 235,2;280,5;312,5 ;154,1;293,8;253;19,0  ;3,6  ;8,4  ;17,3  ;32,3  ;19,3  ;11,9  ;8,9  ;30,8  ;22,4  ;+  11,5;12,7  ;31,3 ;28,8 ;29,5 ;10,3;0,7;93,1;600,8 ;84,4  ;10,0  ;353,2;285,2 ;1,0    ;48,0    ;20,1    ;30,9    ;9,4  ;9,4;
NW;099;Münster;1;302,8;246,2;265,7 ;124,3;247,4;878;14,0  ;2,5  ;9,2  ;22,8  ;31,4  ;20,0  ;11,0  ;8,6  ;57,6  ;57,4  ;+   2,6;2,5  ;32,8 ;28,2 ;26,7 ;12,3;0,3;44,4;548,8 ;86,7  ;8,7  ;471,0;443,7 ;1,1    ;21,2    ;17,4    ;60,3    ;9,6  ;9,9;
NW;100;Warendorf;13;1 315,6;247,4;274,3 ;134,9;251,5;209;18,6  ;3,7  ;8,4  ;16,3  ;33,0  ;19,9  ;11,5  ;9,3  ;31,4  ;27,1  ;+   6,5;13,9  ;27,8 ;29,5 ;27,7 ;14,9;0,7;121,2;604,7 ;84,4  ;9,8  ;366,0;291,4 ;1,5    ;54,7    ;15,8    ;27,9    ;8,7  ;9,5;
NW;101;Gütersloh;12;931,9;277,8;321,7 ;158,2;292,0;345;18,5  ;3,4  ;8,1  ;17,1  ;33,3  ;19,5  ;12,0  ;9,4  ;36,1  ;26,4  ;+  12,4;11,8  ;40,4 ;33,5 ;19,4 ;6,6;1,0;170,5;650,0 ;84,8  ;9,5  ;383,1;386,0 ;0,9    ;57,8    ;17,8    ;23,5    ;9,0  ;9,1;
NW;102;Bielefeld;2;293,0;315,7;335,6 ;159,4;292,7;1 145;15,2  ;2,9  ;8,0  ;17,1  ;32,7  ;24,1  ;10,5  ;11,2  ;41,5  ;40,7  ;+   0,2;1,3  ;45,3 ;26,3 ;17,6 ;10,8;0,7;105,3;552,4 ;88,5  ;5,6  ;449,2;385,3 ;0,4    ;36,1    ;21,8    ;41,7    ;13,2  ;13,7;
