;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;
SH;008;Segeberg – Stormarn-Nord ;115;1 673,3;267,3;303,0 ;148,7;287,6;181;16,6  ;3,1  ;7,2  ;16,9  ;37,2  ;18,9  ;10,8  ;10,2  ;52,8  ;42,3  ;+  10,9;9,5  ;31,4 ;18,7 ;22,0 ;28,0;0,8;76,0;687,3 ;84,5  ;8,7  ;414,8;297,8 ;1,7    ;38,0    ;26,6    ;33,7    ;8,3  ;9,1;
SH;009;Ostholstein;52;1 532,3;198,8;215,6 ;104,2;207,6;141;15,0  ;3,0  ;7,2  ;15,3  ;35,0  ;24,5  ;9,2  ;12,4  ;47,6  ;40,0  ;+   4,5;8,6  ;26,5 ;16,9 ;17,3 ;39,3;0,4;29,8;615,5 ;84,6  ;12,7  ;486,7;246,5 ;2,5    ;30,2    ;19,1    ;48,2    ;11,9  ;12,9;
SH;010;Herzogtum Lauenburg – Stormarn-Süd;155;1 559,7;275,6;302,9 ;146,7;288,6;194;16,0  ;3,0  ;6,8  ;15,9  ;36,8  ;21,5  ;10,3  ;11,2  ;56,6  ;43,9  ;+  11,8;7,2  ;32,1 ;16,9 ;17,3 ;33,7;0,7;73,2;646,3 ;86,1  ;9,1  ;424,0;270,4 ;1,6    ;42,6    ;21,8    ;34,0    ;8,4  ;9,1;
SH;011;Lübeck;1;214,1;210,5;215,7 ;101,9;196,8;1 007;13,9  ;2,7  ;7,7  ;17,3  ;33,4  ;25,0  ;10,0  ;13,6  ;48,2  ;50,7  ;-   6,1;0,9  ;47,8 ;14,9 ;13,4 ;23,9;0,5;79,8;514,1 ;87,9  ;6,5  ;495,2;373,0 ;0,6    ;31,4    ;24,2    ;43,9    ;14,6  ;15,7;
SH;901;Land insgesamt;1 131;15 770,5;2 554,2;2 742,3 ;1 339,3;2 598,4;174;15,8  ;3,0  ;7,5  ;16,9  ;35,0  ;21,8  ;10,5  ;11,4  ;51,8  ;44,7  ;+   6,1;9,4  ;27,7 ;18,5 ;21,4 ;32,4;0,5;56,5;611,5 ;84,4  ;8,9  ;451,3;289,0 ;1,9    ;33,6    ;22,0    ;42,5    ;11,0  ;11,9;
HH;012;Hamburg-Mitte;1;60,6;214,7;237,1 ;117,5;175,9;5 229;13,4  ;2,7  ;7,7  ;19,0  ;34,8  ;22,5  ;9,7  ;11,8  ;43,3  ;41,1  ;+   0,0;0,9  ;71,3 ;15,5 ;7,7 ;5,6;0,4;69,2;473,8 ;88,2  ;5,7  ;482,4;429,7 ;0,4    ;23,8    ;27,0    ;48,9    ;12,2  ;13,5;
HH;013;Hamburg-Altona;siehe Wkr 012;78,3;225,9;240,3 ;114,9;199,0;3 068;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;
HH;014;Hamburg-Eimsbüttel;siehe Wkr 012;49,8;226,7;241,7 ;115,4;209,5;4 850;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;
HH;015;Hamburg-Nord;siehe Wkr 012;114,8;249,8;261,3 ;122,0;237,7;2 275;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;
HH;016;Hamburg-Wandsbek;siehe Wkr 012;66,7;242,7;253,1 ;119,6;226,4;3 796;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;
HH;017;Hamburg-Bergedorf;siehe Wkr 012;195,8;244,2;266,2 ;130,5;227,6;1 006;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;
HH;018;Hamburg-Harburg;siehe Wkr 012;189,2;188,7;208,3 ;104,0;172,3;1 046;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;siehe Wkr 012;
HH;902;Land insgesamt;1;755,2;1 592,8;1 708,0 ;823,9;1 448,5;2 262;13,4  ;2,7  ;7,7  ;19,0  ;34,8  ;22,5  ;9,7  ;11,8  ;43,3  ;41,1  ;+   0,0;0,9  ;71,3 ;15,5 ;7,7 ;5,6;0,4;69,2;473,8 ;88,2  ;5,7  ;482,4;429,7 ;0,4    ;23,8    ;27,0    ;48,9    ;12,2  ;13,5;
NI;019;Aurich – Emden;28;1 399,8;218,4;233,0 ;113,9;223,8;166;17,9  ;3,5  ;8,2  ;16,2  ;33,0  ;21,2  ;11,8  ;10,7  ;35,7  ;31,1  ;+   5,8;14,9  ;33,4 ;21,0 ;28,0 ;17,6;0,3;66,3;570,7 ;83,0  ;10,0  ;428,5;276,5 ;1,6    ;39,6    ;18,0    ;40,9    ;16,5  ;16,8;
NI;020;Unterems;60;2 596,6;254,4;288,7 ;142,8;275,4;111;18,9  ;3,6  ;8,1  ;16,2  ;32,6  ;20,6  ;12,0  ;10,9  ;36,0  ;26,4  ;+  10,7;18,3  ;28,6 ;22,0 ;34,4 ;15,0;0,3;25,0;594,4 ;82,4  ;9,4  ;394,8;231,1 ;1,8    ;41,8    ;21,3    ;35,2    ;16,0  ;17,1;
NI;021;Friesland – Wilhelmshaven;25;1 095,9;195,1;200,1 ;98,0;190,0;183;16,2  ;3,1  ;7,5  ;16,3  ;34,3  ;22,7  ;10,2  ;11,5  ;43,4  ;42,0  ;+   0,2;12,1  ;24,1 ;18,3 ;34,3 ;23,4;0,4;39,3;594,4 ;84,9  ;9,2  ;473,2;253,1 ;1,0    ;27,0    ;17,3    ;54,8    ;18,1  ;18,5;
NI;022;Oldenburg – Ammerland;10;1 102,9;275,6;301,6 ;145,7;285,4;273;15,7  ;2,9  ;7,8  ;18,6  ;34,4  ;20,5  ;10,7  ;9,9  ;66,7  ;56,7  ;+  10,8;8,3  ;34,7 ;23,1 ;26,4 ;15,7;0,5;53,6;600,7 ;84,5  ;9,2  ;460,3;340,9 ;2,6    ;30,3    ;22,0    ;45,1    ;13,1  ;14,0;
NI;023;Delmenhorst – Wesermarsch – Oldenburg-Land;25;1 947,3;260,8;286,8 ;141,8;267,0;147;17,3  ;3,2  ;7,4  ;16,6  ;35,2  ;20,4  ;10,9  ;10,3  ;46,5  ;41,4  ;+   5,6;13,3  ;23,4 ;18,2 ;28,9 ;29,5;0,5;69,2;626,5 ;84,0  ;9,6  ;417,6;236,2 ;1,9    ;45,5    ;17,8    ;34,8    ;12,4  ;13,1;
NI;024;Cuxhaven;58;2 072,5;190,2;199,6 ;97,9;188,3;96;16,5  ;3,1  ;7,1  ;14,8  ;35,2  ;23,4  ;10,3  ;12,2  ;39,2  ;32,6  ;+   4,7;20,1  ;23,1 ;19,5 ;30,6 ;26,8;0,4;31,5;645,4 ;81,9  ;8,8  ;432,3;195,2 ;3,7    ;35,1    ;18,8    ;42,4    ;11,7  ;12,9;
NI;025;Stade – Rotenburg I;76;2 484,8;239,9;269,5 ;134,2;255,4;108;17,8  ;3,3  ;7,8  ;16,7  ;34,6  ;19,7  ;11,6  ;10,4  ;42,4  ;32,4  ;+  11,1;19,3  ;27,8 ;24,3 ;21,8 ;26,1;0,4;48,1;674,1 ;81,0  ;13,0  ;401,5;263,0 ;1,9    ;41,9    ;21,4    ;34,9    ;9,0  ;9,6;
