© Der Bundeswahlleiter, Wiesbaden 2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Strukturdaten für die Wahlkreise zum 15. Deutschen Bundestag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wkr-Nr;Land;Wahlkreisnamen;Bemerkungen;Gemeinden am 30.12.2001;Fläche am 31.12.1999 (in km2);Bevölkerung am 31.12.1999 (in 1000);;;Bevölkerungsdichte am 31.12.1999 (Einwohner je km2);Bevölkerung im Alter von ... bis unter ... Jahren am 31.12.1999 (in %);;;;;;Bevölkerungsbewegung 1999 (je 1000 Einwohner);;;;;Landwirtschaft 1999;;Bergbau- und verarb. Gewerbe am 30.09.1999;;Bautätigkeit und Wohnungswesen (je 1000 Einwohner);;Kfz-Bestand am 31.07.2000 (je 1000 Einwohner);Schulabgänger nach Abschlussarten 1999;;;;;Arbeitslosenquote Ende Dezember;;Sozialversicherungspflichtig Beschäftigte am 31.12.2000;;;;
;;;;;;insgesamt;männlich;Deutsche;;unter 15;15 - 18;18 - 25;25 - 35;35 - 60;60 und mehr;Lebendgeborene;Gestorbene;Zuzüge;Fortzüge;Zu- bzw. Abnahme (-);Betriebe (je 1000 Einwohner);landwirtschaftlich genutzte Fläche (LF) (ha je Betrieb);Betriebe (je 1000 Einwohner);Beschäftigte (je 1000 Einwohner);Fertiggestellte Wohnungen 1999;Bestand an Wohnungen am 31.12.1999;;insgesamt (je 1000 Einwohner);ohne Hauptschulabschluss (in %);mit Hauptschulabschluss (in %);mit Realschulabschluss (in %);mit allgemeiner Hochschulreife (in %);2000;2001;insgesamt (je 1000 Einwohner);"Land- und Forstwirtschaft; Fischerei (in %)";Produzierendes Gewerbe (in %);"Handel u. Verkehr; Nachrichtenübermittlung (in %)";übrige Dienstleistungen (in %)
14;MV;Rostock;;1;180,7;203,3;99,6;198;1125;12,6;3,9;9,7;14;36,9;22,9;7,3;9,3;38,3;56,6;-20,4;0,1;84,2;0,3;32,5;7,5;539,6;462,1;15,2;10,2;14,7;38,7;34,5;16;17,1;406,2;0,6;18,6;21,5;59,3
15;MV;Stralsund - Nordvorpommern - Rügen;;119;3180,8;257,1;126,5;253,8;81;14,2;4,8;9,2;12,3;36,9;22,7;6,5;10,4;36,2;37,3;-5;2,7;292,4;0,3;19,9;10,1;477;559,9;15,8;9,7;23,2;46;19,3;22,5;22,6;298;3,6;22,9;19,5;54
16;MV;Greifswald - Demmin - Ostvorpommern;;195;3881,6;266,2;131,3;261,3;69;14,6;4,7;9,8;12,6;36,1;22,1;7;10,4;35,8;40,5;-8,1;3,4;286,2;0,3;23,4;8;469,5;568,1;16,4;10,8;21,6;47,5;18,9;23;22,8;296,5;5,5;25,7;17,9;51
17;MV;Bad Doberan - Güstrow - Müritz;;232;5132,8;300,3;149,1;296,3;59;15,4;5;9,3;12,6;37,2;20,4;7,1;9,4;40,6;32,5;5,8;4,2;245,9;0,4;23,9;12,8;443,5;610,4;15;10,4;22,4;47,3;18,7;18,9;20,4;300,7;5,3;28,3;22;44,4
18;MV;Neubrandenburg - Mecklenburg-Strelitz -Uecker-Randow;;128;3799,1;249,4;123,6;245,1;66;14,5;4,9;10;12,5;37,2;21,1;7,2;9,2;32,1;40,4;-10,3;2,6;279;0,3;22,7;6,1;459,3;580,4;16,5;10,2;20,3;44,3;24;22,5;22,9;335,2;4,8;22,9;19,8;52,4
;MV;Land insgesamt;;989;23171,5;1789,3;883,6;1757,7;77;14,5;4,7;9,5;12,9;36,8;21,6;7;9,8;41,6;44,1;-5,2;2,9;263,2;0,4;26,2;8,3;471;568,6;15,8;10,5;21,1;45,2;21,9;19,4;19,6;322,7;4;25,4;19,7;50,9
19;HH;Hamburg-Mitte;Erläuterungen siehe Vorbemerkungen;1;119,7;363,7;181,9;284,9;3038;13,5;2,6;7,8;17,5;35,2;23,4;9,4;10,9;46,1;41,9;2,7;0,7;10,8;0,3;58,2;3,6;500,3;530,2;8,9;11,7;23,6;30,6;32,4;9,3;9,6;455,3;0,3;20,7;27,4;51,6
20;HH;Hamburg-Altona;Erläuterungen siehe Vorbemerkungen;1;78,3;239,6;116,1;198,6;3058;13,5;2,6;7,8;17,5;35,2;23,4;9,4;10,9;46,1;41,9;2,7;0,7;10,8;0,3;58,2;3,6;500,3;530,2;8,9;11,7;23,6;30,6;32,4;9,3;9,6;455,3;0,3;20,7;27,4;51,6
21;HH;Hamburg-Eimsbüttel;Erläuterungen siehe Vorbemerkungen;1;49,8;244,1;115,2;209,5;4897;13,5;2,6;7,8;17,5;35,2;23,4;9,4;10,9;46,1;41,9;2,7;0,7;10,8;0,3;58,2;3,6;500,3;530,2;8,9;11,7;23,6;30,6;32,4;9,3;9,6;455,3;0,3;20,7;27,4;51,6
22;HH;Hamburg-Nord;Erläuterungen siehe Vorbemerkungen;1;114,9;262,6;122,8;237,1;2286;13,5;2,6;7,8;17,5;35,2;23,4;9,4;10,9;46,1;41,9;2,7;0,7;10,8;0,3;58,2;3,6;500,3;530,2;8,9;11,7;23,6;30,6;32,4;9,3;9,6;455,3;0,3;20,7;27,4;51,6
