"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"lp__",32930.5159045,32930.8845,6.72301730975884,6.74434739999862,32919.0179,32941.07815,1.00486040589305,746.784935225555,1559.88008968078
"alpha",0.000639667140499525,0.00026344031,0.0130414592254727,0.0107842656075,-0.0198554441,0.02157151705,1.00140062496464,2357.94480157171,2161.89686968822
"beta_treat",0.012872574771775,0.012870704,0.00282784528675573,0.0027772908282,0.008381668115,0.01746254965,1.00318298349779,6302.10045814772,2555.37336089885
"beta_cross_treat",0.0063181632305,0.0063133989,0.000603666744598824,0.00059418271395,0.005315291945,0.007318218225,1.00240337292231,4119.49008076058,2383.93230023956
"z_party[1]",0.704935423755845,0.718837685,0.877135099719969,0.872471448618,-0.752226915,2.095507585,1.00144878062508,2844.33736704876,2733.83808569044
"z_party[2]",-0.627113269093725,-0.65043429,0.809984831611669,0.754065897648,-1.900282775,0.756782464,1.00120044619211,2384.21674037267,2209.29696750947
"z_party[3]",-0.237250101331805,-0.24647436,0.773727791245193,0.745246985133,-1.48665843,1.045404775,1.00068811418585,3408.99101918923,2742.05626146127
"z_party[4]",0.157989277983865,0.14704935,0.800276054228025,0.723466138185,-1.162182625,1.478825925,1.00063442124702,3288.22402406177,2871.83071019019
"z_party[5]",-0.0740384992240525,-0.0808175235,0.777300986171766,0.7329384006441,-1.343694805,1.21542099,1.0005474871741,3299.56687046503,3140.93542457741
"z_party[6]",0.105048129902358,0.107689295,0.784066440218322,0.744327825024,-1.17409446,1.38712008,1.00061101658475,3351.28741979403,2808.64358283023
"z_party[7]",-0.00195931503094,-0.006941399,1.00005202898163,1.0420304668746,-1.604871455,1.63758723,1.00199167726277,7019.96455113275,2618.9772610599
"z_party[8]",0.0065172435751975,0.016911997,1.01101429514369,0.9964682296338,-1.68226053,1.688088905,1.00063631433967,6321.45443587506,2717.84691217424
"z_year[1]",-0.191473635493765,-0.19837657,0.892195031741744,0.857179860327,-1.69443777,1.263915765,1.0008276272171,4916.17577164124,3212.63709386438
"z_year[2]",-0.02396049228336,-0.00819486735,0.910915750067111,0.907974396084,-1.52368904,1.43907689,1.00050471683689,4642.39338000287,3296.13739324883
"z_year[3]",-0.063948531603705,-0.072387995,0.892566722554256,0.837946149831,-1.5499308,1.395151895,1.00123453698978,5041.56603489322,3128.95887733055
"z_year[4]",0.125772791129143,0.11337294,0.872486672200971,0.851582630199,-1.327166075,1.60606297,1.00241409887023,4435.16135567902,2836.19564741488
"z_year[5]",-0.118440777387745,-0.129201015,0.89379778661581,0.902042520897,-1.55040106,1.35823331,1.00038948673937,4263.11712650098,3203.51725225782
"z_year[6]",0.242974951207217,0.265615395,0.911707514327577,0.901987212504,-1.30536618,1.68370331,1.00105653268723,4625.8453533001,3194.53911476232
"z_yp[1]",0.88673141760895,0.94416534,0.523182421379377,0.481829299266,-0.07429610025,1.641900855,1.00553597533545,1100.87136386636,2564.61642960704
"z_yp[2]",-0.681694678163917,-0.598127185,0.561153204027536,0.542876629302,-1.717542445,0.0840964467999993,1.00554803588593,1081.61661471987,2432.19393774285
"z_yp[3]",1.9204777494725,1.95080945,0.561874365053177,0.52987345635,0.9110715855,2.789404725,1.00332056404953,1118.22890429334,2156.37109690474
"z_yp[4]",-2.150290453889,-2.1604912,0.484004632893625,0.47707873752,-2.92385246,-1.35045257,1.00299129422278,1418.30557530504,2385.05563392862
"z_yp[5]",-0.52374913062749,-0.5562422,0.414961176474602,0.399806463189,-1.155705155,0.196432151,1.00506195682174,1255.49860205215,2029.7350953761
"z_yp[6]",0.648316894626618,0.611167955,0.43363062342442,0.440086599897,-0.0118595236,1.398878375,1.00333107015152,1081.70662502701,2234.80573128712
"z_yp[7]",-0.283820484428199,-0.320095005,0.419269215424657,0.4171492819536,-0.9149908275,0.442408749499999,1.00305546119814,1196.33176592462,2030.40520062494
"z_yp[8]",0.77266227197516,0.73864655,0.442150699986008,0.441703931172,0.115102402,1.556341775,1.00316762634872,1160.16200824743,2026.37368403576
"z_yp[9]",-0.647722313817825,-0.663244205,0.413087164010527,0.410009449521,-1.303514595,0.0672149998499996,1.00496772228005,1268.1301916564,2317.90396737387
"z_yp[10]",-0.81035579839572,-0.82428074,0.382556150816457,0.363884911026,-1.41369649,-0.165084127500001,1.00211676959518,2185.20062232931,2435.15065072924
"z_yp[11]",-0.0857233617623956,-0.0946444,0.380371471361147,0.365376428865,-0.6987827745,0.551593652,1.00180724619647,2150.8537442768,2366.48974442836
"z_yp[12]",1.28575141956773,1.2678214,0.421940209311305,0.418143000534,0.618505655,1.997324645,1.00064530401287,1732.72903645229,2391.73162431505
"z_yp[13]",-0.93720495337828,-0.935571935,0.374974030269553,0.360213259539,-1.55160663,-0.3350996235,1.00120433292755,2118.72140600832,2555.46568547247
"z_yp[14]",-1.535330142761,-1.5319009,0.416972758898541,0.38857544943,-2.223715935,-0.8553466055,1.00013837185308,2071.79676160372,2496.21799290559
"z_yp[15]",1.21883061065225,1.2037048,0.424881952885144,0.403608946713,0.5349827065,1.943774625,1.00191641974009,1847.07353986816,2603.8018703306
"z_yp[16]",0.55475739637476,0.54987276,0.382007146669117,0.370767562767,-0.0605981891,1.191886665,1.00108581746231,2196.07305935922,2496.63130646142
"z_yp[17]",-0.158903913299611,-0.14544817,0.377277446461391,0.3605557067805,-0.795283738,0.4544539475,1.00304735109216,1896.78268531505,2240.95264318964
"z_yp[18]",-0.420289244909835,-0.40914778,0.368996098610577,0.356011163424,-1.04143494,0.176937738,1.00134023236744,1961.49842227001,2431.41431413804
"z_yp[19]",0.092694986792295,0.10444964,0.362246285413482,0.354108431649,-0.5261020475,0.670407332,1.00136744022583,2060.25719803215,2220.26344970352
"z_yp[20]",1.11335889799625,1.10893695,0.39269672794746,0.37865937585,0.4839584835,1.765363135,1.00109841565415,2092.69366701838,2548.19044312244
"z_yp[21]",-0.567791453763,-0.547385015,0.382219059545402,0.362685910167,-1.22203257,0.01576500065,1.00092303350953,1867.02197812707,2070.90538200238
"z_yp[22]",0.866442967208538,0.851985915,0.395300976994264,0.381033114819,0.251140724,1.5495992,1.00212424402265,2142.66616301334,2708.92412923293
"z_yp[23]",-0.193322605593693,-0.191310335,0.370477288144759,0.3413930513721,-0.805889325,0.414135965,1.00269248057294,2167.6530717073,2419.76948619399
"z_yp[24]",-1.17869592905835,-1.16907355,0.396536618109911,0.379491574056,-1.83844976,-0.535973551,1.00306779108214,2124.04246744963,2473.88863999346
"z_yp[25]",0.8950234884777,0.89148091,0.391582128133458,0.379506296274,0.2661528535,1.54546295,1.00398226520943,2033.00859125936,2302.20100629757
"z_yp[26]",0.410538106791248,0.397425785,0.377759238581339,0.355860850023,-0.1901666025,1.04861558,1.00105258115215,2165.6388455075,2346.67970154954
"z_yp[27]",-1.04283747023662,-1.02113105,0.399273689560034,0.381027910893,-1.726519515,-0.422816734,1.0030028619109,1963.92437428795,2293.33639472166
"z_yp[28]",0.42841732840336,0.418666075,0.378543913431829,0.358366755369,-0.188600762,1.078692165,1.00116020312723,2096.44115291257,2429.96255389554
"z_yp[29]",0.655353404002333,0.6518346,0.379265602867279,0.370753314981,0.0290040133000001,1.28269717,1.00346476957071,1903.05205494161,2219.68658182415
"z_yp[30]",-0.618469239403325,-0.618242275,0.376574936898281,0.357069191262,-1.25093361,0.00522170655499982,1.00181279059835,1824.09091309758,2245.9297839696
"z_yp[31]",0.126416772124491,0.132815025,0.358249095980307,0.345675069264,-0.472578508,0.692677507499999,1.00084221768211,2093.44410542306,2358.55199526473
"z_yp[32]",-0.699665516818182,-0.69533432,0.377759426117319,0.370518219099,-1.33445911,-0.0873732833000002,1.00070906224953,1938.26060178237,2295.28854160698
"z_yp[33]",0.570335638786475,0.57460871,0.376270922837789,0.371030687202,-0.0575208184,1.166364325,1.0041386402259,1920.97686312273,2278.96329574997
"sigma_party",0.0195801693366425,0.0156707755,0.0170138919193717,0.01320275522664,0.00158232712,0.0509860155,1.0117173358387,551.724889015917,1350.66980848383
"sigma_year",0.00977490184414715,0.00741794185,0.00908334044182963,0.00690187980279,0.000747542849,0.02688441325,1.00137077615359,1048.2592271518,1830.48260687227
"sigma_yp",0.03952032613025,0.0389377425,0.00583770291812751,0.0056608284789,0.0311075891,0.04954537955,1.00051267601862,1296.93773004595,2141.56388514028
