"variable","mean","median","sd","mad","q2.5","q97.5","rhat","ess_bulk","ess_tail"
"alpha",0.0002390560063629,-0.000129722155,0.0135163788836688,0.011910594447927,-0.0251592794,0.027992547725,1.00061522774917,1782.90399485852,1882.59651974661
"beta_treat",0.010528200709875,0.010517101,0.000557051529622668,0.000542990389200001,0.00947438145,0.011646887225,1.00059060264742,3704.5401392746,2235.28523585036
"beta_cross_treat",0.00176897622596269,0.00176728175,0.00257334631979082,0.0026792442418371,-0.0031362334825,0.0067122686075,1.00263871956833,5330.82823353805,2203.45964738776
"sigma_party",0.01814505699406,0.014690064,0.0154282192694987,0.01226731157358,0.0007758746775,0.0577010655,1.00150061863969,672.105040007483,1456.26584915603
"sigma_year",0.0106419913552076,0.00796553155,0.00971945826741656,0.00752367112329,0.0003604567395,0.036736086375,1.0042303465498,1017.16611324638,1746.98449413567
"sigma_yp",0.04611819853325,0.045347785,0.00653560640175172,0.0060846786147,0.035565735375,0.061287735575,1.00335204144139,1276.94821633239,2471.46183994643
"sigma",0.0181420513285,0.018142019,0.000137672277083215,0.000140483763,0.017880079775,0.0184113355,1.00274124962539,7254.28476328055,2918.23986437625
