"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"lp__",35236.38113125,35236.933,26.0680419371236,26.0885709000049,35192.6009,35278.47335,1.00261010103484,906.694322447589,1558.04244002581
"alpha",0.000102598676209125,3.8259452e-05,0.012653882254272,0.0107844144575748,-0.0197110233,0.02062994025,1.00171759958631,1290.70004972874,1746.06130510213
"beta_treat",0.013102053651575,0.0131061945,0.00216321998211438,0.0021762151362,0.00957368765,0.0164972945,1.00069227597127,6230.1388058342,3011.15551346258
"beta_cross_treat",0.0061713349811026,0.0062195505,0.002236663391489,0.00227741466939,0.00237075083,0.00969978887999999,1.0023441427239,850.332504182415,1662.83702271641
"z_party[1]",0.81729076754581,0.829702035,0.884084941566602,0.857500665315,-0.6854241295,2.221877375,1.00389970258297,1945.49462764697,2675.9800609402
"z_party[2]",-0.65101375298729,-0.66982746,0.809446420213853,0.732417802704,-1.93611419,0.73164376,1.0019274789294,1729.27588444228,2482.14359233592
"z_party[3]",-0.22832157050875,-0.23038913,0.766166993307418,0.691995677394,-1.45404672,1.06340518,1.00142626430885,1710.67503688309,2439.40150801184
"z_party[4]",0.123730576007439,0.14754575,0.776323017904532,0.75650517495,-1.153691,1.37443167,1.00101641756747,1745.4035245336,2539.10419308138
"z_party[5]",-0.0975464330161425,-0.106115325,0.768141730635115,0.717461044797,-1.338008415,1.177811115,1.00372817706474,1662.41873545906,2948.34190240801
"z_party[6]",0.0579023347998,0.060140894,0.777410093313705,0.732120385731,-1.20468405,1.31044983,1.00039580178434,1971.85158408667,2812.69226963424
"z_party[7]",-0.00521035851999,-0.011477422,0.998830885989779,0.9733143156912,-1.641564175,1.632893955,1.00118304852007,5315.61095562643,2531.04185777591
"z_party[8]",0.008844774281315,3.897588e-05,0.957237219162361,0.939408814869,-1.56483222,1.578697965,1.00373481662325,6291.58314803599,3225.10937800943
"z_year[1]",-0.181813797610632,-0.177587795,0.892710805839065,0.87120311397,-1.644947045,1.30204641,1.0012784036082,2717.04121049957,2962.50564180003
